               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  70,            0.032379,            0.011243,             0.01384,             0.57497,             0.83622,             0.87844,             0.59656,            0.015001,           0.0028226,           0.0050415,            0.007723,            0.007723,            0.007723
                  71,            0.055796,            0.010097,             0.01548,              0.6557,             0.91667,             0.95375,             0.55376,            0.012157,           0.0029314,           0.0052856,             0.00769,             0.00769,             0.00769
                  72,            0.036892,            0.011304,            0.030547,             0.68645,             0.91667,               0.962,             0.65114,            0.010582,           0.0027767,           0.0044739,            0.007657,            0.007657,            0.007657
                  73,            0.021797,            0.011059,            0.011028,             0.54192,             0.91667,                0.94,             0.53951,            0.015258,           0.0028528,           0.0040436,            0.007624,            0.007624,            0.007624
                  74,            0.041836,           0.0092525,            0.022878,              0.4983,             0.90035,             0.90198,              0.5337,            0.013455,           0.0029888,            0.004129,            0.007591,            0.007591,            0.007591
                  75,            0.025874,            0.010629,           0.0086333,              0.7244,             0.97758,             0.94138,              0.7472,           0.0088367,           0.0029485,           0.0037872,            0.007558,            0.007558,            0.007558
                  76,            0.025939,           0.0098037,           0.0082839,             0.64211,                   1,               0.962,              0.5084,            0.016988,           0.0030673,           0.0029861,            0.007525,            0.007525,            0.007525
                  77,            0.077011,           0.0098726,            0.010072,               0.626,             0.96324,             0.90661,             0.45154,            0.014261,           0.0032616,           0.0028961,            0.007492,            0.007492,            0.007492
                  78,            0.029133,            0.010108,           0.0088291,             0.66435,             0.91667,             0.87469,             0.57524,             0.01131,           0.0033712,           0.0030991,            0.007459,            0.007459,            0.007459
                  79,            0.053537,           0.0097495,            0.011449,             0.66048,             0.91667,             0.87145,             0.53972,            0.011399,           0.0034332,           0.0036926,            0.007426,            0.007426,            0.007426
                  80,            0.043899,             0.01139,            0.010434,             0.79299,             0.91667,             0.81768,             0.48623,            0.014203,            0.003664,           0.0032562,            0.007393,            0.007393,            0.007393
                  81,            0.029263,            0.010643,            0.010526,             0.86345,             0.89417,               0.929,             0.58872,            0.011896,           0.0036139,           0.0030319,             0.00736,             0.00736,             0.00736
                  82,            0.052076,            0.008861,             0.02266,             0.87388,             0.85592,             0.93725,             0.62633,            0.010383,           0.0041208,            0.003241,            0.007327,            0.007327,            0.007327
                  83,            0.045201,            0.010112,            0.030257,             0.79542,             0.89501,             0.87908,             0.56237,            0.011005,           0.0037603,           0.0032288,            0.007294,            0.007294,            0.007294
                  84,            0.033421,            0.010046,            0.022284,             0.88073,             0.85641,             0.93725,             0.64799,             0.01012,           0.0038993,           0.0026886,            0.007261,            0.007261,            0.007261
                  85,             0.02438,           0.0097067,           0.0072349,             0.59026,              0.8928,             0.83422,             0.43949,            0.016001,            0.004354,            0.002713,            0.007228,            0.007228,            0.007228
                  86,            0.041274,            0.011266,            0.027709,             0.70593,             0.86276,             0.90538,             0.59816,            0.010727,           0.0043659,           0.0025101,            0.007195,            0.007195,            0.007195
                  87,            0.048282,           0.0093366,            0.017877,             0.79306,             0.91667,             0.90313,             0.63079,            0.010194,           0.0034323,           0.0023346,            0.007162,            0.007162,            0.007162
                  88,            0.021285,           0.0087581,           0.0084507,              0.6216,             0.91667,                0.84,             0.61231,            0.014318,           0.0032504,           0.0020126,            0.007129,            0.007129,            0.007129
                  89,            0.058659,           0.0092831,            0.017068,             0.87166,             0.94113,             0.97438,             0.68333,           0.0090191,           0.0027854,           0.0017075,            0.007096,            0.007096,            0.007096
